Feature,Importance
ch0_mgd_band_32_std,0.0005082839384085877
ch0_mgd_band_31_mean,0.000506627528059083
ch1_mag_band_20_kurtosis,0.0005059261860484499
ch0_mag_band_34_kurtosis,0.0005001097504917307
ch0_mfcc_5_mean,0.0004991913027203871
ch1_real_band_34_std,0.00049891052934937
ch0_real_band_31_std,0.000496774041987751
ch1_mag_band_33_kurtosis,0.0004922761988471138
ch1_mgd_band_29_std,0.000491997151600269
ch1_mag_band_33_std,0.0004912421315012432
ch1_mfcc_0_std,0.0004912188472872094
ch0_cqcc_17_std,0.00048624431439480656
ch1_mag_band_19_kurtosis,0.0004781326386223502
ch1_lfcc_1_std,0.00047278655042008234
ch0_real_band_19_kurtosis,0.0004720676120709816
ch1_imag_band_33_std,0.0004694878175786152
ch0_mag_band_22_std,0.00046461511721675067
ch0_mfcc_0_std,0.0004619641298630536
ch1_phase_band_38_kurtosis,0.00046159698808022174
ch1_imag_band_4_std,0.0004591867881324949
ch0_mag_band_35_mean,0.0004584844356512439
ch0_cqcc_5_std,0.0004575306545500953
ch1_real_band_34_kurtosis,0.0004565797908816919
ch0_phase_band_38_mean,0.00045601987143781275
ch1_mag_band_21_mean,0.00045363252872167076
ch0_imag_band_13_std,0.0004533270851214987
ch0_imag_band_14_std,0.00045147107649388214
ch1_phase_band_38_mean,0.00045027623654561247
ch0_cqcc_0_kurtosis,0.0004488398198448587
ch1_mag_band_35_mean,0.00044752429452994485
ch1_lfcc_4_std,0.0004470639051832947
ch1_imag_band_28_std,0.0004443053985415987
ch1_mgd_band_37_mean,0.0004430722886241254
ch1_imag_band_37_std,0.00043740363934975245
ch1_mag_band_34_kurtosis,0.0004365700542833022
ch0_mag_band_32_mean,0.0004349951153864395
ch0_imag_band_37_std,0.00043200831087158504
ch0_mag_band_0_mean,0.0004289635475989196
ch0_real_band_31_kurtosis,0.00042748040909307847
ch1_mag_band_35_kurtosis,0.0004234928508088917
ch0_imag_band_36_kurtosis,0.0004231785756111525
ch1_mag_band_35_skew,0.00042176413683875315
ch0_imag_band_37_kurtosis,0.0004169542351383492
ch0_mag_band_19_mean,0.00041435511232573437
ch0_lfcc_1_skew,0.00041395804083226197
ch1_real_band_0_skew,0.000410182001443458
ch0_lfcc_1_kurtosis,0.0004096466067031004
ch0_lfcc_0_kurtosis,0.00040870880250447556
ch1_mag_band_22_skew,0.00040814836201624467
ch1_imag_band_19_kurtosis,0.0004053921505825793
ch1_imag_band_17_kurtosis,0.000404663476862976
ch0_mag_band_19_skew,0.0004002137956689218
ch0_mag_band_29_std,0.00039960685262924753
ch1_cqcc_3_std,0.0003993640788144057
ch1_imag_band_36_std,0.0003952982086714085
ch0_mag_band_37_skew,0.00039447442582069296
ch1_mag_band_36_skew,0.0003898580333779796
ch1_lfcc_0_std,0.0003886096445800978
ch0_imag_band_33_kurtosis,0.0003872427140267107
ch0_mgd_band_31_std,0.0003856589721007385
ch0_real_band_33_kurtosis,0.00038262305494292923
ch0_lfcc_0_std,0.0003820001575628703
ch1_mag_band_6_mean,0.0003812008881139542
ch0_lfcc_1_std,0.00037807389831403257
ch0_lfcc_5_std,0.0003779802837975258
ch1_imag_band_15_kurtosis,0.000377168601488812
ch0_mfcc_1_std,0.0003763331401901035
ch0_mgd_band_37_mean,0.0003760281864402045
ch0_mag_band_35_kurtosis,0.00037434192701285665
ch0_real_band_0_skew,0.0003742288940678097
ch1_cqcc_18_std,0.0003738931439811536
ch0_mag_band_33_skew,0.0003729020155418613
ch1_mgd_band_4_mean,0.0003719944646211219
ch1_mag_band_14_kurtosis,0.0003694635017859364
ch1_lfcc_6_std,0.000368190066380522
ch0_cqcc_4_std,0.00036658369494415666
ch0_mag_band_19_kurtosis,0.0003627677470666682
ch1_mag_band_37_mean,0.0003623788328745493
ch0_mag_band_37_kurtosis,0.00036137716285262355
ch0_mgd_band_0_mean,0.0003610938105397426
ch1_imag_band_37_kurtosis,0.00036096632036256883
ch1_mfcc_4_std,0.00035896141978288264
ch1_phase_band_39_std,0.0003573205242397144
ch1_real_band_36_kurtosis,0.0003573109498617043
ch1_mgd_band_25_mean,0.0003570278866811604
ch1_real_band_29_std,0.000353669892904607
ch1_mag_band_37_skew,0.0003513309609764851
ch0_imag_band_19_kurtosis,0.0003505847441400269
ch0_phase_band_39_std,0.00034749588751560167
ch1_cqcc_1_std,0.0003465689815413979
ch1_phase_band_0_skew,0.0003418704277283367
ch0_mfcc_5_std,0.0003401211795683459
ch1_mag_band_34_skew,0.0003400257471247297
ch1_mag_band_9_mean,0.0003386165805330399
ch1_mag_band_20_skew,0.000335982773726967
ch1_mag_band_37_kurtosis,0.0003354007524786642
ch1_mag_band_22_kurtosis,0.0003350048237381639
ch0_mag_band_32_skew,0.0003338264090042187
ch0_real_band_32_kurtosis,0.00033282294232193644
ch1_mag_band_33_skew,0.0003320561087398911
ch0_phase_band_38_kurtosis,0.00033202765080755253
ch0_cqcc_7_std,0.0003294608211656853
ch0_cqcc_18_std,0.0003293289438722696
ch0_cqcc_1_std,0.00032909282095127003
ch0_mag_band_31_skew,0.00032862477246429193
ch0_real_band_28_std,0.00032539390899402024
ch1_mgd_band_27_mean,0.0003245690657239051
ch1_mag_band_30_kurtosis,0.0003245377783759499
ch0_imag_band_31_kurtosis,0.00032317679810642345
ch0_imag_band_34_kurtosis,0.00032302150120942606
ch0_mag_band_16_mean,0.000322872310218469
ch1_cqcc_7_mean,0.0003222116381288175
ch1_mgd_band_30_std,0.0003189915828272043
ch1_real_band_26_std,0.0003169588939224627
ch1_real_band_19_std,0.0003143131741313362
ch0_imag_band_35_kurtosis,0.0003114548039902369
ch0_lfcc_6_std,0.0003078459853337954
ch1_imag_band_29_std,0.0003076690574868218
ch1_real_band_32_kurtosis,0.00030550329734375914
ch0_cqcc_1_mean,0.00030486023475219544
ch1_real_band_37_kurtosis,0.0003033497331692953
ch1_lfcc_0_kurtosis,0.00030122196014118694
ch1_mag_band_18_kurtosis,0.0002996622082268025
ch0_real_band_0_std,0.0002991049575090341
ch1_imag_band_34_kurtosis,0.0002982659366897419
ch1_mfcc_3_std,0.00029607930888075223
ch1_lfcc_1_kurtosis,0.00029202308915153027
ch1_cqcc_9_std,0.0002899029922072127
ch0_mag_band_30_std,0.00028837571399241267
ch0_imag_band_18_kurtosis,0.00028797662974551047
ch1_mag_band_17_skew,0.0002878112394331961
ch1_mgd_band_0_mean,0.00028710581418261294
ch1_mgd_band_25_std,0.00028618445307157454
ch1_mag_band_30_skew,0.00028458548895858934
ch0_real_band_35_kurtosis,0.00028349900312792575
ch0_cqcc_7_mean,0.00028222578104898107
ch0_real_band_30_std,0.0002820813923168023
ch1_mgd_band_24_std,0.0002818761353872156
ch1_mfcc_0_mean,0.00027935738830052047
ch0_imag_band_22_std,0.0002787427131852722
ch1_real_band_31_kurtosis,0.0002782049387748294
ch1_lfcc_10_std,0.0002774530515716514
ch1_real_band_30_std,0.0002757869630143171
ch1_imag_band_18_kurtosis,0.0002757851648314825
ch0_mgd_band_29_std,0.0002746908974956808
ch1_imag_band_30_kurtosis,0.0002745470587548895
ch1_real_band_21_kurtosis,0.0002741926250633538
ch1_mag_band_31_kurtosis,0.0002720719956762367
ch0_real_band_20_kurtosis,0.00027197885974576544
ch1_mgd_band_38_kurtosis,0.00027075223181943287
ch0_mgd_band_38_kurtosis,0.0002698035422110051
ch0_cqcc_19_mean,0.0002694992904296463
ch1_lfcc_2_std,0.00026901992734279235
ch0_lfcc_9_std,0.000268615308396746
ch1_lfcc_13_std,0.00026718365544143056
ch0_mgd_band_27_mean,0.0002655437419719681
ch0_mfcc_4_mean,0.0002633694471738634
ch1_imag_band_32_kurtosis,0.00026261927695258024
ch1_lfcc_3_std,0.0002624009782637006
ch0_lfcc_4_std,0.0002610573754411613
ch1_imag_band_35_kurtosis,0.00025974726134749633
ch1_mag_band_31_skew,0.00025962125028748814
ch0_phase_band_36_kurtosis,0.0002594302473463834
ch0_lfcc_10_std,0.00025924073748790515
ch0_imag_band_17_kurtosis,0.0002588286702835265
ch0_imag_band_0_std,0.00025810991678413696
ch1_mag_band_28_mean,0.00025758556380480927
ch1_mfcc_17_mean,0.00025546577440545276
ch1_phase_band_29_std,0.00025466784920289234
ch1_imag_band_20_kurtosis,0.0002544818937816675
ch0_imag_band_32_std,0.00025433917400856533
ch1_cqcc_0_skew,0.00025382995738851716
ch1_mfcc_1_std,0.00025316640264247555
ch0_imag_band_20_std,0.00025249896030895045
ch0_mfcc_0_skew,0.0002523556971500833
ch1_mag_band_0_std,0.00025166144972369684
ch0_lfcc_3_std,0.0002508120620917726
ch0_mag_band_30_skew,0.00025075165437163886
ch0_mfcc_7_std,0.0002492893282694708
ch0_lfcc_0_mean,0.0002485928840743796
ch0_mgd_band_28_std,0.0002480527947822032
ch1_imag_band_31_std,0.0002474524839386526
ch0_mag_band_35_skew,0.0002459393451963407
ch0_real_band_22_std,0.0002455035658165668
ch0_real_band_37_kurtosis,0.00024525264372317194
ch0_mag_band_23_kurtosis,0.0002449874453176995
ch1_real_band_32_std,0.00024435122403021367
ch0_mag_band_20_skew,0.00024133277858703076
ch0_mag_band_23_std,0.000241068066798807
ch0_mag_band_24_std,0.00023981142307643994
ch0_mag_band_0_std,0.00023965313084523698
ch0_real_band_29_std,0.0002391599935813752
ch0_mgd_band_25_mean,0.00023706128157434194
ch1_mag_band_21_kurtosis,0.00023539680832958666
ch1_real_band_15_kurtosis,0.00023499438982778483
ch1_lfcc_1_skew,0.00023414208912712274
ch1_lfcc_5_std,0.00023206354857366337
ch1_mag_band_21_skew,0.00023188309909718757
ch0_imag_band_21_std,0.0002294142755060554
ch1_mfcc_0_skew,0.00022834023277586241
ch0_mfcc_9_skew,0.00022813819590525026
ch0_imag_band_30_std,0.00022638745677668794
ch1_cqcc_7_std,0.00022578881034358427
ch0_cqcc_6_std,0.0002257152143540671
ch1_real_band_20_kurtosis,0.00022427840288157856
ch1_real_band_0_std,0.00022383714711801791
ch0_mgd_band_24_std,0.0002228173519316436
ch1_mgd_band_6_std,0.00022248024948700207
ch0_mag_band_18_mean,0.00022117618971630943
ch1_imag_band_32_std,0.00022078756640263303
ch0_mag_band_9_mean,0.00021983566821452162
ch1_mgd_band_28_std,0.00021856946276896738
ch1_real_band_23_kurtosis,0.00021692772927150845
ch0_mag_band_16_std,0.0002164619473032631
ch1_mgd_band_26_std,0.0002152423377020675
ch1_lfcc_9_std,0.0002146662140722457
ch1_cqcc_5_std,0.00021224007805504543
ch0_cqcc_10_std,0.00021172063410752632
ch0_imag_band_30_kurtosis,0.00021170147183859688
ch0_cqcc_19_std,0.00021047984417084227
ch0_lfcc_1_mean,0.0002102847995750978
ch0_mfcc_3_std,0.0002097685511159224
ch1_mfcc_1_kurtosis,0.0002093529836335999
ch0_mgd_band_27_std,0.000208635843254027
ch1_mag_band_0_mean,0.00020790174890161306
ch0_cqcc_0_mean,0.0002077921854222953
ch0_mag_band_17_skew,0.00020716914478014143
ch0_imag_band_20_kurtosis,0.0002070152962707255
ch1_imag_band_0_skew,0.0002058358377971564
ch1_mfcc_9_skew,0.00020570595097961418
ch0_lfcc_2_std,0.00020544106610484607
ch1_mgd_band_27_std,0.00020451263052870944
ch0_mfcc_3_skew,0.00020360235541915403
ch1_imag_band_21_kurtosis,0.00020349935975603548
ch0_real_band_24_std,0.00020259420979494648
ch0_real_band_30_kurtosis,0.00020245903098782867
